,year,month,water_temp,Station
78,2006.0,June,55.66126630648348,Port San Luis
79,2006.0,March,52.60013901212659,Port San Luis
80,2006.0,May,55.28131266521893,Port San Luis
81,2006.0,November,57.144375634374974,Port San Luis
82,2006.0,October,59.40860718702398,Port San Luis
83,2006.0,September,57.98025912195198,Port San Luis
84,2007.0,April,53.41988195677288,Port San Luis
85,2007.0,August,59.73593093586002,Port San Luis
86,2007.0,December,54.80768747763025,Port San Luis
87,2007.0,February,55.450321608758216,Port San Luis
88,2007.0,January,52.67459085815205,Port San Luis
89,2007.0,July,57.928465526863945,Port San Luis
90,2007.0,June,56.71589291041989,Port San Luis
91,2007.0,March,55.161569451486905,Port San Luis
92,2007.0,May,53.98269290065288,Port San Luis
93,2007.0,November,57.79235041351062,Port San Luis
94,2007.0,October,57.55195396069597,Port San Luis
95,2007.0,September,59.650014813531065,Port San Luis
96,2008.0,April,52.20097554720586,Port San Luis
97,2008.0,August,61.75815500242605,Port San Luis
98,2008.0,December,57.66999185454007,Port San Luis
99,2008.0,February,55.051818330699184,Port San Luis
100,2008.0,January,54.99961741310621,Port San Luis
101,2008.0,July,59.43319870980052,Port San Luis
102,2008.0,June,57.09530186527663,Port San Luis
103,2008.0,March,54.399751344108445,Port San Luis
104,2008.0,May,55.00103200823297,Port San Luis
105,2008.0,November,59.02006930569431,Port San Luis
106,2008.0,October,59.16032701695097,Port San Luis
107,2008.0,September,61.59266414547796,Port San Luis
108,2009.0,April,54.718905194533065,Port San Luis
109,2009.0,August,60.358744604995486,Port San Luis
110,2009.0,December,57.079152906882605,Port San Luis
111,2009.0,February,56.367801736884005,Port San Luis
112,2009.0,January,55.89849564614276,Port San Luis
113,2009.0,July,61.14501696153638,Port San Luis
114,2009.0,June,59.210824156642055,Port San Luis
115,2009.0,March,55.57586209173,Port San Luis
116,2009.0,May,55.7591739311838,Port San Luis
117,2009.0,November,58.96503560760816,Port San Luis
118,2009.0,October,60.99172035649019,Port San Luis
119,2009.0,September,62.07094922112352,Port San Luis
120,2010.0,April,56.09043344542759,Port San Luis
121,2010.0,August,55.92807756135255,Port San Luis
122,2010.0,December,54.20624369702822,Port San Luis
123,2010.0,February,58.73358771246736,Port San Luis
124,2010.0,January,58.57997791528567,Port San Luis
125,2010.0,July,55.92808969117924,Port San Luis
126,2010.0,June,53.23179572928112,Port San Luis
127,2010.0,March,55.68736385650969,Port San Luis
128,2010.0,May,51.73725039025909,Port San Luis
129,2010.0,November,55.95550755754964,Port San Luis
130,2010.0,October,57.78630042377427,Port San Luis
131,2010.0,September,56.0569024642457,Port San Luis
132,2011.0,April,51.98766429648783,Port San Luis
133,2011.0,August,57.93108974358974,Port San Luis
134,2011.0,December,54.20570512820513,Port San Luis
135,2011.0,February,53.8665025582818,Port San Luis
136,2011.0,January,53.17526725850902,Port San Luis
137,2011.0,July,57.17542304063563,Port San Luis
138,2011.0,June,53.8463141025641,Port San Luis
139,2011.0,March,51.36811111111111,Port San Luis
140,2011.0,May,52.26806062922434,Port San Luis
141,2011.0,November,55.85926282051282,Port San Luis
142,2011.0,October,57.93693083038658,Port San Luis
143,2011.0,September,58.52915895813047,Port San Luis
144,2012.0,April,52.02167860208132,Port San Luis
145,2012.0,August,58.28378854268095,Port San Luis
146,2012.0,December,57.42120818399988,Port San Luis
147,2012.0,February,53.20340395480226,Port San Luis
148,2012.0,January,54.139417645638886,Port San Luis
149,2012.0,July,56.978246966419405,Port San Luis
150,2012.0,June,55.21033246198961,Port San Luis
151,2012.0,March,51.8830164602722,Port San Luis
152,2012.0,May,53.11005517689062,Port San Luis
153,2012.0,November,58.16980120247255,Port San Luis
154,2012.0,October,59.78862280915288,Port San Luis
155,2012.0,September,58.79201500643708,Port San Luis
156,2013.0,April,53.42774990146432,Port San Luis
157,2013.0,August,57.77893463154492,Port San Luis
158,2013.0,December,55.005337603352366,Port San Luis
159,2013.0,February,52.55691382362408,Port San Luis
160,2013.0,January,53.2100270893681,Port San Luis
161,2013.0,July,58.04704514457174,Port San Luis
162,2013.0,June,55.92074454026272,Port San Luis
163,2013.0,March,53.46682952154121,Port San Luis
164,2013.0,May,55.47461947504316,Port San Luis
165,2013.0,November,56.92349358974359,Port San Luis
166,2013.0,October,58.23764563887995,Port San Luis
167,2013.0,September,58.06626750080463,Port San Luis
168,2014.0,April,54.46407762042699,Port San Luis
169,2014.0,August,60.747958847443066,Port San Luis
170,2014.0,December,61.30888883770805,Port San Luis
171,2014.0,February,55.27456301538588,Port San Luis
172,2014.0,January,56.25009304669572,Port San Luis
173,2014.0,July,60.85218029913929,Port San Luis
174,2014.0,June,57.41755458105354,Port San Luis
175,2014.0,March,56.71673025321503,Port San Luis
176,2014.0,May,54.098440886171005,Port San Luis
177,2014.0,November,60.297656680493205,Port San Luis
178,2014.0,October,63.619605058471976,Port San Luis
179,2014.0,September,60.87592209486463,Port San Luis
0,2005.0,April,53.14913474206953,North Spit
1,2005.0,August,54.68676136181537,North Spit
2,2005.0,December,52.02986667564723,North Spit
3,2005.0,February,52.56346153846154,North Spit
4,2005.0,January,51.612877521029695,North Spit
5,2005.0,July,54.89977355977356,North Spit
6,2005.0,June,53.47137427789601,North Spit
7,2005.0,March,54.046208320664846,North Spit
8,2005.0,May,55.96435783419479,North Spit
9,2005.0,November,52.25959545888894,North Spit
10,2005.0,October,53.37103449087145,North Spit
11,2005.0,September,54.22168202030616,North Spit
12,2006.0,April,52.635964514128126,North Spit
13,2006.0,August,54.98675179892572,North Spit
14,2006.0,December,51.95003050876501,North Spit
15,2006.0,February,50.785933490613125,North Spit
16,2006.0,January,52.73331557792876,North Spit
17,2006.0,July,54.30133019154759,North Spit
18,2006.0,June,54.72062403176533,North Spit
19,2006.0,March,50.163357314041455,North Spit
20,2006.0,May,51.74806615485963,North Spit
21,2006.0,November,54.26612739939101,North Spit
22,2006.0,October,53.781841614268856,North Spit
23,2006.0,September,53.84743068012982,North Spit
24,2012.0,April,51.93842355015738,North Spit
25,2012.0,August,53.923253205128205,North Spit
26,2012.0,December,52.50154783871484,North Spit
27,2012.0,February,50.24949038629058,North Spit
28,2012.0,January,49.74709064253846,North Spit
29,2012.0,July,54.37523706984357,North Spit
30,2012.0,June,51.849870973044055,North Spit
31,2012.0,March,48.876463866580174,North Spit
32,2012.0,May,51.2325641025641,North Spit
33,2012.0,November,54.28488529482546,North Spit
34,2012.0,October,53.50949261246178,North Spit
35,2012.0,September,54.30551770969144,North Spit
0,2000.0,April,52.945779492246885,Crescent City
1,2000.0,August,58.30865384615384,Crescent City
2,2000.0,December,52.376930044593095,Crescent City
3,2000.0,February,52.52689520624303,Crescent City
4,2000.0,January,50.22302814938685,Crescent City
5,2000.0,July,56.533737458193976,Crescent City
6,2000.0,June,54.24514353400223,Crescent City
7,2000.0,March,51.64093432787654,Crescent City
8,2000.0,May,56.07501963616095,Crescent City
9,2000.0,November,51.65192307692308,Crescent City
10,2000.0,October,54.926963616094056,Crescent City
11,2000.0,September,56.54973522853958,Crescent City
12,2001.0,April,52.17381848224239,Crescent City
13,2001.0,August,59.3775641025641,Crescent City
14,2001.0,December,50.62619843924192,Crescent City
15,2001.0,February,51.04132637963114,Crescent City
16,2001.0,January,51.95224358974359,Crescent City
17,2001.0,July,58.996112040133774,Crescent City
18,2001.0,June,53.62268356643357,Crescent City
19,2001.0,March,52.32281115623506,Crescent City
20,2001.0,May,54.04694816053512,Crescent City
21,2001.0,November,52.127027591973246,Crescent City
22,2001.0,October,54.201762820512826,Crescent City
23,2001.0,September,55.901771145521145,Crescent City
24,2002.0,April,51.09198717948718,Crescent City
25,2002.0,August,57.64576494344784,Crescent City
