datetime,PRCP_Eureka,PRCP_SantaCruz,PRCP_SantaMaria,PRCP_LosAngeles,PRCP_SanDiego
2000-10-20,0.56,0.56,0.0,0.0,0.0
2000-10-21,0.0,0.0,0.0,0.0,0.01
2000-10-22,0.0,0.0,0.0,0.0,0.0
2000-10-23,0.0,0.0,0.0,0.0,0.0
2000-10-24,0.0,0.0,0.0,0.0,0.0
2000-10-25,0.27,0.27,0.08,0.0,0.0
2000-11-01,0.02,0.02,0.0,0.0,0.0
2000-11-02,0.06,0.06,0.0,0.0,0.0
2000-11-03,0.0,0.0,0.0,0.0,0.0
2000-11-04,0.01,0.01,0.0,0.0,0.0
2000-11-05,0.0,0.0,0.0,0.0,0.0
2000-11-06,0.0,0.0,0.0,0.0,0.0
2000-11-07,0.0,0.0,0.0,0.0,0.0
2000-11-08,0.22,0.22,0.0,0.0,0.0
2000-11-09,0.44,0.44,0.0,0.0,0.0
2000-11-10,0.0,0.0,0.0,0.0,0.26
2000-11-11,0.0,0.0,0.0,0.0,0.0
2000-11-12,0.0,0.0,0.0,0.0,0.0
2000-11-13,0.72,0.72,0.0,0.0,0.0
2000-11-14,0.06,0.06,0.0,0.0,0.0
2000-11-15,0.31,0.31,0.0,0.0,0.0
2000-11-16,0.0,0.0,0.0,0.0,0.0
2000-11-17,0.0,0.0,0.0,0.0,0.0
2000-11-18,0.0,0.0,0.0,0.0,0.0
2000-11-19,0.0,0.0,0.0,0.0,0.0
2000-11-20,0.0,0.0,0.0,0.0,0.0
2000-11-21,0.35,0.35,0.0,0.0,0.0
2000-11-22,0.0,0.0,0.0,0.0,0.0
2000-11-23,0.3,0.3,0.0,0.0,0.0
2000-11-24,0.0,0.0,0.0,0.0,0.0
2000-11-25,0.01,0.01,0.0,0.0,0.0
2000-12-01,0.0,0.0,0.0,0.0,0.0
2000-12-02,0.0,0.0,0.0,0.0,0.0
2000-12-03,0.0,0.0,0.0,0.0,0.0
2000-12-04,0.0,0.0,0.0,0.0,0.0
2000-12-05,0.0,0.0,0.0,0.0,0.0
2000-12-06,0.0,0.0,0.0,0.0,0.0
2000-12-07,0.02,0.02,0.0,0.0,0.0
2000-12-08,0.0,0.0,0.0,0.0,0.0
2000-12-09,0.05,0.05,0.0,0.0,0.0
2000-12-10,0.0,0.0,0.0,0.0,0.0
2000-12-11,0.35,0.35,0.01,0.0,0.0
2000-12-12,0.04,0.04,0.04,0.0,0.01
2000-12-13,0.39,0.39,0.0,0.0,0.0
2000-12-14,0.2,0.2,0.0,0.0,0.0
2000-12-15,0.0,0.0,0.0,0.0,0.0
2000-12-16,0.21,0.21,0.0,0.0,0.0
2000-12-17,0.0,0.0,0.0,0.0,0.0
2000-12-18,0.0,0.0,0.0,0.0,0.0
2000-12-19,0.0,0.0,0.0,0.0,0.0
2000-12-20,0.0,0.0,0.0,0.0,0.0
2000-12-21,0.29,0.29,0.0,0.0,0.0
2000-12-22,0.17,0.17,0.0,0.0,0.0
2000-12-23,0.25,0.25,0.0,0.0,0.0
2000-12-24,0.0,0.0,0.0,0.0,0.0
2000-12-25,0.0,0.0,0.0,0.0,0.0
